Year,Temp (°C),Population (Billion),CO2 (ppm),Internet Access (%),Source
1581,-0.23,0.11,278.4136972288579,0.0,Synthetic_GHA_2025
1582,-0.23,0.11,278.2519044009905,0.0,Synthetic_GHA_2025
1583,-0.23,0.11,278.0920901800705,0.0,Synthetic_GHA_2025
1584,-0.23,0.11,277.9342545660975,0.0,Synthetic_GHA_2025
1585,-0.23,0.11,277.77839755907144,0.0,Synthetic_GHA_2025
1586,-0.23,0.11,277.62451915899237,0.0,Synthetic_GHA_2025
1587,-0.23,0.11,277.4726193658598,0.0,Synthetic_GHA_2025
1588,-0.22,0.12,277.3226981796747,0.0,Synthetic_GHA_2025
1589,-0.22,0.12,277.1747556004366,0.0,Synthetic_GHA_2025
1590,-0.22,0.12,277.0287916281454,0.0,Synthetic_GHA_2025
1591,-0.22,0.12,276.8848062628008,0.0,Synthetic_GHA_2025
1592,-0.22,0.12,276.7427995044036,0.0,Synthetic_GHA_2025
1593,-0.22,0.12,276.60277135295337,0.0,Synthetic_GHA_2025
1594,-0.22,0.12,276.46472180844967,0.0,Synthetic_GHA_2025
1595,-0.22,0.12,276.3286508708934,0.0,Synthetic_GHA_2025
1596,-0.22,0.12,276.1945585402841,0.0,Synthetic_GHA_2025
1597,-0.22,0.13,276.0624448166218,0.0,Synthetic_GHA_2025
1598,-0.22,0.13,275.932309699906,0.0,Synthetic_GHA_2025
1599,-0.22,0.13,275.80415319013764,0.0,Synthetic_GHA_2025
1600,-0.21,0.13,275.67797528731626,0.0,Synthetic_GHA_2025
1601,-0.21,0.13,275.5537759914414,0.0,Synthetic_GHA_2025
1602,-0.21,0.13,275.43155530251397,0.0,Synthetic_GHA_2025
1603,-0.21,0.13,275.31131322053307,0.0,Synthetic_GHA_2025
1604,-0.21,0.13,275.1930497454996,0.0,Synthetic_GHA_2025
1605,-0.21,0.14,275.07676487741264,0.0,Synthetic_GHA_2025
1606,-0.21,0.14,274.9624586162731,0.0,Synthetic_GHA_2025
1607,-0.21,0.14,274.8501309620806,0.0,Synthetic_GHA_2025
1608,-0.21,0.14,274.73978191483457,0.0,Synthetic_GHA_2025
1609,-0.21,0.14,274.631411474536,0.0,Synthetic_GHA_2025
1610,-0.21,0.14,274.5250196411839,0.0,Synthetic_GHA_2025
1611,-0.2,0.14,274.42060641477883,0.0,Synthetic_GHA_2025
1612,-0.2,0.15,274.3181717953207,0.0,Synthetic_GHA_2025
1613,-0.2,0.15,274.21771578281005,0.0,Synthetic_GHA_2025
1614,-0.2,0.15,274.11923837724635,0.0,Synthetic_GHA_2025
1615,-0.2,0.15,274.02273957862917,0.0,Synthetic_GHA_2025
1616,-0.2,0.15,273.9282193869594,0.0,Synthetic_GHA_2025
1617,-0.2,0.15,273.8356778022362,0.0,Synthetic_GHA_2025
1618,-0.2,0.15,273.7451148244604,0.0,Synthetic_GHA_2025
1619,-0.2,0.16,273.65653045363115,0.0,Synthetic_GHA_2025
1620,-0.2,0.16,273.56992468974886,0.0,Synthetic_GHA_2025
1621,-0.2,0.16,273.485297532814,0.0,Synthetic_GHA_2025
1622,-0.2,0.16,273.40264898282567,0.0,Synthetic_GHA_2025
1623,-0.19,0.16,273.32197903978476,0.0,Synthetic_GHA_2025
1624,-0.19,0.16,273.2432877036904,0.0,Synthetic_GHA_2025
1625,-0.19,0.16,273.166574974543,0.0,Synthetic_GHA_2025
1626,-0.19,0.17,273.091840852343,0.0,Synthetic_GHA_2025
1627,-0.19,0.17,273.01908533708956,0.0,Synthetic_GHA_2025
1628,-0.19,0.17,272.9483084287831,0.0,Synthetic_GHA_2025
1629,-0.19,0.17,272.8795101274236,0.0,Synthetic_GHA_2025
1630,-0.19,0.17,272.81269043301154,0.0,Synthetic_GHA_2025
1631,-0.19,0.17,272.747849345546,0.0,Synthetic_GHA_2025
1632,-0.19,0.18,272.68498686502744,0.0,Synthetic_GHA_2025
1633,-0.19,0.18,272.6241029914563,0.0,Synthetic_GHA_2025
1634,-0.19,0.18,272.5651977248317,0.0,Synthetic_GHA_2025
1635,-0.18,0.18,272.5082710651541,0.0,Synthetic_GHA_2025
1636,-0.18,0.18,272.4533230124234,0.0,Synthetic_GHA_2025
1637,-0.18,0.18,272.4003535666402,0.0,Synthetic_GHA_2025
1638,-0.18,0.19,272.34936272780305,0.0,Synthetic_GHA_2025
1639,-0.18,0.19,272.3003504959138,0.0,Synthetic_GHA_2025
1640,-0.18,0.19,272.25331687097105,0.0,Synthetic_GHA_2025
1641,-0.18,0.19,272.2082618529753,0.0,Synthetic_GHA_2025
1642,-0.18,0.19,272.16518544192695,0.0,Synthetic_GHA_2025
1643,-0.18,0.2,272.1240876378247,0.0,Synthetic_GHA_2025
1644,-0.18,0.2,272.0849684406703,0.0,Synthetic_GHA_2025
1645,-0.18,0.2,272.047827850462,0.0,Synthetic_GHA_2025
1646,-0.17,0.2,272.0126658672016,0.0,Synthetic_GHA_2025
1647,-0.17,0.2,271.9794824908877,0.0,Synthetic_GHA_2025
1648,-0.17,0.21,271.94827772152075,0.0,Synthetic_GHA_2025
1649,-0.17,0.21,271.9190515591008,0.0,Synthetic_GHA_2025
1650,-0.17,0.21,271.89180400362784,0.0,Synthetic_GHA_2025
1651,-0.17,0.21,271.86653505510185,0.0,Synthetic_GHA_2025
1652,-0.17,0.21,271.84324471352284,0.0,Synthetic_GHA_2025
1653,-0.17,0.22,271.8219329788908,0.0,Synthetic_GHA_2025
1654,-0.17,0.22,271.8025998512062,0.0,Synthetic_GHA_2025
1655,-0.17,0.22,271.78524533046766,0.0,Synthetic_GHA_2025
1656,-0.17,0.22,271.76986941667656,0.0,Synthetic_GHA_2025
1657,-0.17,0.22,271.75647210983243,0.0,Synthetic_GHA_2025
1658,-0.16,0.23,271.7450534099353,0.0,Synthetic_GHA_2025
1659,-0.16,0.23,271.7356133169851,0.0,Synthetic_GHA_2025
1660,-0.16,0.23,271.7281518309819,0.0,Synthetic_GHA_2025
1661,-0.16,0.23,271.7226689519257,0.0,Synthetic_GHA_2025
1662,-0.16,0.23,271.71916467981646,0.0,Synthetic_GHA_2025
1663,-0.16,0.24,271.7176390146542,0.0,Synthetic_GHA_2025
1664,-0.16,0.24,271.7180919564389,0.0,Synthetic_GHA_2025
1665,-0.16,0.24,271.7205235051706,0.0,Synthetic_GHA_2025
1666,-0.16,0.24,271.7249336608488,0.0,Synthetic_GHA_2025
1667,-0.16,0.25,271.73132242347447,0.0,Synthetic_GHA_2025
1668,-0.16,0.25,271.73968979304755,0.0,Synthetic_GHA_2025
1669,-0.16,0.25,271.7500357695667,0.0,Synthetic_GHA_2025
1670,-0.15,0.25,271.7623603530333,0.0,Synthetic_GHA_2025
1671,-0.15,0.26,271.77666354344683,0.0,Synthetic_GHA_2025
1672,-0.15,0.26,271.79294534080736,0.0,Synthetic_GHA_2025
1673,-0.15,0.26,271.8112057451144,0.0,Synthetic_GHA_2025
1674,-0.15,0.26,271.8314447563689,0.0,Synthetic_GHA_2025
1675,-0.15,0.27,271.8536623745704,0.0,Synthetic_GHA_2025
1676,-0.15,0.27,271.8778585997188,0.0,Synthetic_GHA_2025
1677,-0.15,0.27,271.90403343181424,0.0,Synthetic_GHA_2025
1678,-0.15,0.27,271.9321868708562,0.0,Synthetic_GHA_2025
1679,-0.15,0.28,271.96231891684556,0.0,Synthetic_GHA_2025
1680,-0.15,0.28,271.99442956978146,0.0,Synthetic_GHA_2025
1681,-0.14,0.28,272.0285188296648,0.0,Synthetic_GHA_2025
1682,-0.14,0.28,272.0645866964951,0.0,Synthetic_GHA_2025
1683,-0.14,0.29,272.1026331702724,0.0,Synthetic_GHA_2025
1684,-0.14,0.29,272.14265825099665,0.0,Synthetic_GHA_2025
1685,-0.14,0.29,272.18466193866743,0.0,Synthetic_GHA_2025
1686,-0.14,0.3,272.22864423328565,0.0,Synthetic_GHA_2025
1687,-0.14,0.3,272.2746051348504,0.0,Synthetic_GHA_2025
1688,-0.14,0.3,272.32254464336256,0.0,Synthetic_GHA_2025
1689,-0.14,0.3,272.3724627588217,0.0,Synthetic_GHA_2025
1690,-0.14,0.31,272.4243594812274,0.0,Synthetic_GHA_2025
1691,-0.14,0.31,272.4782348105805,0.0,Synthetic_GHA_2025
1692,-0.14,0.31,272.5340887468801,0.0,Synthetic_GHA_2025
1693,-0.13,0.32,272.5919212901272,0.0,Synthetic_GHA_2025
1694,-0.13,0.32,272.65173244032076,0.0,Synthetic_GHA_2025
1695,-0.13,0.32,272.71352219746177,0.0,Synthetic_GHA_2025
1696,-0.13,0.32,272.77729056154976,0.0,Synthetic_GHA_2025
1697,-0.13,0.33,272.8430375325843,0.0,Synthetic_GHA_2025
1698,-0.13,0.33,272.9107631105662,0.0,Synthetic_GHA_2025
1699,-0.13,0.33,272.9804672954947,0.0,Synthetic_GHA_2025
1700,-0.13,0.34,273.0521500873706,0.0,Synthetic_GHA_2025
1701,-0.13,0.34,273.125811486193,0.0,Synthetic_GHA_2025
1702,-0.13,0.34,273.20145149196287,0.0,Synthetic_GHA_2025
1703,-0.13,0.35,273.2790701046797,0.0,Synthetic_GHA_2025
1704,-0.13,0.35,273.35866732434306,0.0,Synthetic_GHA_2025
1705,-0.12,0.35,273.4402431509534,0.0,Synthetic_GHA_2025
1706,-0.12,0.36,273.5237975845107,0.0,Synthetic_GHA_2025
1707,-0.12,0.36,273.60933062501545,0.0,Synthetic_GHA_2025
1708,-0.12,0.36,273.6968422724667,0.0,Synthetic_GHA_2025
1709,-0.12,0.37,273.7863325268654,0.0,Synthetic_GHA_2025
1710,-0.12,0.37,273.8778013882111,0.0,Synthetic_GHA_2025
1711,-0.12,0.37,273.9712488565028,0.0,Synthetic_GHA_2025
1712,-0.12,0.38,274.06667493174245,0.0,Synthetic_GHA_2025
1713,-0.12,0.38,274.1640796139286,0.0,Synthetic_GHA_2025
1714,-0.12,0.39,274.2634629030622,0.0,Synthetic_GHA_2025
1715,-0.12,0.39,274.3648247991423,0.0,Synthetic_GHA_2025
1716,-0.11,0.39,274.4681653021694,0.0,Synthetic_GHA_2025
1717,-0.11,0.4,274.5734844121439,0.0,Synthetic_GHA_2025
1718,-0.11,0.4,274.68078212906494,0.0,Synthetic_GHA_2025
1719,-0.11,0.4,274.79005845293295,0.0,Synthetic_GHA_2025
1720,-0.11,0.41,274.90131338374795,0.0,Synthetic_GHA_2025
1721,-0.11,0.41,275.0145469215104,0.0,Synthetic_GHA_2025
1722,-0.11,0.42,275.1297590662193,0.0,Synthetic_GHA_2025
1723,-0.11,0.42,275.24694981787525,0.0,Synthetic_GHA_2025
1724,-0.11,0.42,275.3661191764786,0.0,Synthetic_GHA_2025
1725,-0.11,0.43,275.4872671420285,0.0,Synthetic_GHA_2025
1726,-0.11,0.43,275.61039371452534,0.0,Synthetic_GHA_2025
1727,-0.11,0.44,275.7354988939692,0.0,Synthetic_GHA_2025
1728,-0.1,0.44,275.86258268036,0.0,Synthetic_GHA_2025
1729,-0.1,0.44,275.9916450736978,0.0,Synthetic_GHA_2025
1730,-0.1,0.45,276.122686073983,0.0,Synthetic_GHA_2025
1731,-0.1,0.45,276.25570568121475,0.0,Synthetic_GHA_2025
1732,-0.1,0.46,276.3907038953935,0.0,Synthetic_GHA_2025
1733,-0.1,0.46,276.52768071651917,0.0,Synthetic_GHA_2025
1734,-0.1,0.47,276.66663614459185,0.0,Synthetic_GHA_2025
1735,-0.1,0.47,276.8075701796115,0.0,Synthetic_GHA_2025
1736,-0.1,0.48,276.95048282157813,0.0,Synthetic_GHA_2025
1737,-0.1,0.48,277.0953740704922,0.0,Synthetic_GHA_2025
1738,-0.1,0.48,277.2422439263528,0.0,Synthetic_GHA_2025
1739,-0.1,0.49,277.39109238916035,0.0,Synthetic_GHA_2025
1740,-0.09,0.49,277.5419194589149,0.0,Synthetic_GHA_2025
1741,-0.09,0.5,277.6947251356164,0.0,Synthetic_GHA_2025
1742,-0.09,0.5,277.8495094192649,0.0,Synthetic_GHA_2025
1743,-0.09,0.51,278.0062723098599,0.0,Synthetic_GHA_2025
1744,-0.09,0.51,278.16501380740283,0.0,Synthetic_GHA_2025
1745,-0.09,0.52,278.32573391189226,0.0,Synthetic_GHA_2025
1746,-0.09,0.52,278.48843262332866,0.0,Synthetic_GHA_2025
1747,-0.09,0.53,278.65310994171205,0.0,Synthetic_GHA_2025
1748,-0.09,0.53,278.8197658670424,0.0,Synthetic_GHA_2025
1749,-0.09,0.54,278.98840039931974,0.0,Synthetic_GHA_2025
1750,-0.09,0.54,279.1590135385436,0.0,Synthetic_GHA_2025
1751,-0.08,0.55,279.33160528471535,0.0,Synthetic_GHA_2025
1752,-0.08,0.55,279.5061756378336,0.0,Synthetic_GHA_2025
1753,-0.08,0.56,279.6827245978984,0.0,Synthetic_GHA_2025
1754,-0.08,0.56,279.8612521649111,0.0,Synthetic_GHA_2025
1755,-0.08,0.57,280.04175833886984,0.0,Synthetic_GHA_2025
1756,-0.08,0.58,280.224243119776,0.0,Synthetic_GHA_2025
1757,-0.08,0.58,280.4087065076292,0.0,Synthetic_GHA_2025
1758,-0.08,0.59,280.5951485024293,0.0,Synthetic_GHA_2025
1759,-0.08,0.59,280.7835691041764,0.0,Synthetic_GHA_2025
1760,-0.08,0.6,280.97396831287006,0.0,Synthetic_GHA_2025
1761,-0.08,0.6,281.1663461285116,0.0,Synthetic_GHA_2025
1762,-0.08,0.61,281.36070255109917,0.0,Synthetic_GHA_2025
1763,-0.07,0.62,281.5570375806342,0.0,Synthetic_GHA_2025
1764,-0.07,0.62,281.75535121711573,0.0,Synthetic_GHA_2025
1765,-0.07,0.63,281.95564346054516,0.0,Synthetic_GHA_2025
1766,-0.07,0.63,282.1579143109211,0.0,Synthetic_GHA_2025
1767,-0.07,0.64,282.3621637682436,0.0,Synthetic_GHA_2025
1768,-0.07,0.65,282.5683918325135,0.0,Synthetic_GHA_2025
1769,-0.07,0.65,282.77659850372993,0.0,Synthetic_GHA_2025
1770,-0.07,0.66,282.9867837818938,0.0,Synthetic_GHA_2025
1771,-0.07,0.66,283.19894766700463,0.0,Synthetic_GHA_2025
1772,-0.07,0.67,283.41309015906245,0.0,Synthetic_GHA_2025
1773,-0.07,0.68,283.62921125806724,0.0,Synthetic_GHA_2025
1774,-0.07,0.68,283.84731096401856,0.0,Synthetic_GHA_2025
1775,-0.06,0.69,284.0673892769173,0.0,Synthetic_GHA_2025
1776,-0.06,0.7,284.2894461967626,0.0,Synthetic_GHA_2025
1777,-0.06,0.7,284.5134817235553,0.0,Synthetic_GHA_2025
1778,-0.06,0.71,284.7394958572945,0.0,Synthetic_GHA_2025
1779,-0.06,0.72,284.9674885979812,0.0,Synthetic_GHA_2025
1780,-0.06,0.72,285.1974599456148,0.0,Synthetic_GHA_2025
1781,-0.06,0.73,285.42940990019497,0.0,Synthetic_GHA_2025
1782,-0.06,0.74,285.66333846172256,0.0,Synthetic_GHA_2025
1783,-0.06,0.74,285.8992456301967,0.0,Synthetic_GHA_2025
1784,-0.06,0.75,286.1371314056182,0.0,Synthetic_GHA_2025
1785,-0.06,0.76,286.3769957879863,0.0,Synthetic_GHA_2025
1786,-0.05,0.77,286.6188387773018,0.0,Synthetic_GHA_2025
1787,-0.05,0.77,286.86266037356427,0.0,Synthetic_GHA_2025
1788,-0.05,0.78,287.10846057677327,0.0,Synthetic_GHA_2025
1789,-0.05,0.79,287.3562393869297,0.0,Synthetic_GHA_2025
1790,-0.05,0.8,287.60599680403266,0.0,Synthetic_GHA_2025
1791,-0.05,0.8,287.85773282808304,0.0,Synthetic_GHA_2025
1792,-0.05,0.81,288.1114474590804,0.0,Synthetic_GHA_2025
1793,-0.05,0.82,288.3671406970243,0.0,Synthetic_GHA_2025
1794,-0.05,0.83,288.6248125419156,0.0,Synthetic_GHA_2025
1795,-0.05,0.84,288.884462993753,0.0,Synthetic_GHA_2025
1796,-0.05,0.84,289.1460920525383,0.0,Synthetic_GHA_2025
1797,-0.05,0.85,289.4096997182701,0.0,Synthetic_GHA_2025
1798,-0.04,0.86,289.6752859909493,0.0,Synthetic_GHA_2025
1799,-0.04,0.87,289.9428508705755,0.0,Synthetic_GHA_2025
1800,-0.04,0.88,290.21239435714824,0.0,Synthetic_GHA_2025
1801,-0.04,0.88,290.48391645066795,0.0,Synthetic_GHA_2025
1802,-0.04,0.89,290.75741715113463,0.0,Synthetic_GHA_2025
1803,-0.04,0.9,291.03289645854875,0.0,Synthetic_GHA_2025
1804,-0.04,0.91,291.3103543729094,0.0,Synthetic_GHA_2025
1805,-0.04,0.92,291.58979089421746,0.0,Synthetic_GHA_2025
1806,-0.04,0.93,291.87120602247205,0.0,Synthetic_GHA_2025
1807,-0.04,0.94,292.1545997576736,0.0,Synthetic_GHA_2025
1808,-0.04,0.95,292.4399720998226,0.0,Synthetic_GHA_2025
1809,-0.04,0.95,292.7273230489177,0.0,Synthetic_GHA_2025
1810,-0.03,0.96,293.01665260496065,0.0,Synthetic_GHA_2025
1811,-0.03,0.97,293.30796076795014,0.0,Synthetic_GHA_2025
1812,-0.03,0.98,293.60124753788705,0.0,Synthetic_GHA_2025
1813,-0.03,0.99,293.8965129147705,0.0,Synthetic_GHA_2025
1814,-0.03,1.0,294.1937568986009,0.0,Synthetic_GHA_2025
1815,-0.03,1.01,294.4929794893783,0.0,Synthetic_GHA_2025
1816,-0.03,1.02,294.79418068710265,0.0,Synthetic_GHA_2025
1817,-0.03,1.03,295.09736049177445,0.0,Synthetic_GHA_2025
1818,-0.03,1.04,295.4025189033923,0.0,Synthetic_GHA_2025
1819,-0.03,1.05,295.7096559219581,0.0,Synthetic_GHA_2025
1820,-0.03,1.06,296.0187715474708,0.0,Synthetic_GHA_2025
1821,-0.02,1.07,296.3298657799296,0.0,Synthetic_GHA_2025
1822,-0.02,1.08,296.6429386193363,0.0,Synthetic_GHA_2025
1823,-0.02,1.09,296.95799006568905,0.0,Synthetic_GHA_2025
1824,-0.02,1.1,297.2750201189897,0.0,Synthetic_GHA_2025
1825,-0.02,1.11,297.5940287792364,0.0,Synthetic_GHA_2025
1826,-0.02,1.12,297.915016046431,0.0,Synthetic_GHA_2025
1827,-0.02,1.13,298.2379819205721,0.0,Synthetic_GHA_2025
1828,-0.02,1.14,298.5629264016602,0.0,Synthetic_GHA_2025
1829,-0.02,1.16,298.8898494896953,0.0,Synthetic_GHA_2025
1830,-0.02,1.17,299.21875118467733,0.0,Synthetic_GHA_2025
1831,-0.02,1.18,299.54963148660636,0.0,Synthetic_GHA_2025
1832,-0.02,1.19,299.88249039548236,0.0,Synthetic_GHA_2025
1833,-0.01,1.2,300.21732791130535,0.0,Synthetic_GHA_2025
1834,-0.01,1.21,300.55414403407576,0.0,Synthetic_GHA_2025
1835,-0.01,1.22,300.89293876379224,0.0,Synthetic_GHA_2025
1836,-0.01,1.24,301.23371210045616,0.0,Synthetic_GHA_2025
1837,-0.01,1.25,301.57646404406705,0.0,Synthetic_GHA_2025
1838,-0.01,1.26,301.9211945946249,0.0,Synthetic_GHA_2025
1839,-0.01,1.27,302.26790375212977,0.0,Synthetic_GHA_2025
1840,-0.01,1.28,302.6165915165816,0.0,Synthetic_GHA_2025
1841,-0.01,1.3,302.9672578879804,0.0,Synthetic_GHA_2025
1842,-0.01,1.31,303.3199028663262,0.0,Synthetic_GHA_2025
1843,-0.01,1.32,303.67452645161893,0.0,Synthetic_GHA_2025
1844,-0.01,1.33,304.0311286438582,0.0,Synthetic_GHA_2025
1845,0.0,1.35,304.3897094430454,0.0,Synthetic_GHA_2025
1846,0.0,1.36,304.7502688491786,0.0,Synthetic_GHA_2025
1847,0.0,1.37,305.1128068622593,0.0,Synthetic_GHA_2025
1848,0.0,1.38,305.4773234822874,0.0,Synthetic_GHA_2025
1849,0.0,1.4,305.84381870926154,0.0,Synthetic_GHA_2025
1850,0.0,1.41,306.21229254318314,0.0,Synthetic_GHA_2025
1851,0.01,1.43,306.58274498405126,0.0,Synthetic_GHA_2025
1852,0.01,1.44,306.95517603186727,0.0,Synthetic_GHA_2025
1853,0.02,1.45,307.32958568662934,0.0,Synthetic_GHA_2025
1854,0.03,1.47,307.70597394833885,0.0,Synthetic_GHA_2025
1855,0.03,1.48,308.08434081699534,0.0,Synthetic_GHA_2025
1856,0.04,1.49,308.46468629259834,0.0,Synthetic_GHA_2025
1857,0.05,1.51,308.84701037514924,0.0,Synthetic_GHA_2025
1858,0.05,1.52,309.2313130646462,0.0,Synthetic_GHA_2025
1859,0.06,1.54,309.6175943610906,0.0,Synthetic_GHA_2025
1860,0.07,1.55,310.0058542644815,0.0,Synthetic_GHA_2025
1861,0.08,1.57,310.39609277481986,0.0,Synthetic_GHA_2025
1862,0.08,1.58,310.7883098921052,0.0,Synthetic_GHA_2025
1863,0.09,1.6,311.18250561633704,0.0,Synthetic_GHA_2025
1864,0.1,1.61,311.5786799475168,0.0,Synthetic_GHA_2025
1865,0.1,1.63,311.9768328856426,0.0,Synthetic_GHA_2025
1866,0.11,1.64,312.3769644307158,0.0,Synthetic_GHA_2025
1867,0.12,1.66,312.7790745827356,0.0,Synthetic_GHA_2025
1868,0.12,1.68,313.18316334170277,0.0,Synthetic_GHA_2025
1869,0.13,1.69,313.58923070761693,0.0,Synthetic_GHA_2025
1870,0.14,1.71,313.9972766804776,0.0,Synthetic_GHA_2025
1871,0.14,1.72,314.40730126028575,0.0,Synthetic_GHA_2025
1872,0.15,1.74,314.8193044470404,0.0,Synthetic_GHA_2025
1873,0.16,1.76,315.2332862407425,0.0,Synthetic_GHA_2025
1874,0.16,1.77,315.6492466413911,0.0,Synthetic_GHA_2025
1875,0.17,1.79,316.0671856489871,0.0,Synthetic_GHA_2025
1876,0.18,1.81,316.4871032635301,0.0,Synthetic_GHA_2025
